Date,Close,,,,,リターン,標準偏差
2010/07/23 16:00:00,8,,,7.6,,0.4013056015,0.3106948621
2010/07/30 16:00:00,7.6,-0.4,-0.05,11.28,0.4842105263,,
2010/08/06 16:00:00,7.98,0.38,0.05,12.49,0.1072695035,,
2010/08/13 16:00:00,6.62,-1.36,-0.1704260652,15.79,0.2642113691,,
2010/08/20 16:00:00,6.78,0.16,0.02416918429,31,0.9632678911,,
2010/08/27 16:00:00,6.36,-0.42,-0.06194690265,36.61,0.1809677419,,
2010/09/03 16:00:00,7.02,0.66,0.1037735849,42.81,0.1693526359,,
2010/09/10 16:00:00,6.98,-0.04,-0.005698005698,82.72,0.932258818,,
2010/09/17 16:00:00,7.88,0.9,0.1289398281,146.09,0.7660783366,,
2010/09/24 16:00:00,8.57,0.69,0.08756345178,185.85,0.2721609966,,
2010/10/01 16:00:00,8.4,-0.17,-0.01983663944,235.02,0.2645682002,,
2010/10/08 16:00:00,8.69,0.29,0.03452380952,,,,
2010/10/15 16:00:00,9.71,1.02,0.1173762946,,,,
2010/10/22 16:00:00,9.68,-0.03,-0.003089598352,,,,
2010/10/29 16:00:00,10.06,0.38,0.03925619835,,,,
2010/11/05 16:00:00,11.07,1.01,0.1003976143,,,,
2010/11/12 16:00:00,10.11,-0.96,-0.08672086721,,,,
2010/11/19 16:00:00,10.01,-0.1,-0.009891196835,,,,
2010/11/26 16:00:00,10.16,0.15,0.01498501499,,,,
2010/12/03 16:00:00,10.75,0.59,0.05807086614,,,,
2010/12/10 16:00:00,11.19,0.44,0.04093023256,,,,
2010/12/17 16:00:00,11.2,0.01,0.0008936550492,,,,
2010/12/23 16:00:00,11.36,0.16,0.01428571429,,,,
2010/12/31 16:00:00,11.38,0.02,0.00176056338,,,,
2011/01/07 16:00:00,12.22,0.84,0.07381370826,,,,
2011/01/14 16:00:00,13,0.78,0.06382978723,,,,
2011/01/21 16:00:00,12.25,-0.75,-0.05769230769,,,,
2011/01/28 16:00:00,12.46,0.21,0.01714285714,,,,
2011/02/04 16:00:00,13.81,1.35,0.1083467095,,,,
2011/02/11 16:00:00,14,0.19,0.01375814627,,,,
2011/02/18 16:00:00,14.22,0.22,0.01571428571,,,,
2011/02/25 16:00:00,13.2,-1.02,-0.07172995781,,,,
2011/03/04 16:00:00,13.12,-0.08,-0.006060606061,,,,
2011/03/11 16:00:00,11.95,-1.17,-0.08917682927,,,,
2011/03/18 16:00:00,10.69,-1.26,-0.1054393305,,,,
2011/03/25 16:00:00,11.81,1.12,0.1047708138,,,,
2011/04/01 16:00:00,11.76,-0.05,-0.004233700254,,,,
2011/04/08 16:00:00,11.58,-0.18,-0.01530612245,,,,
2011/04/15 16:00:00,11.18,-0.4,-0.03454231434,,,,
2011/04/21 16:00:00,12.23,1.05,0.0939177102,,,,
2011/04/29 16:00:00,12.82,0.59,0.0482420278,,,,
2011/05/06 16:00:00,12.42,-0.4,-0.03120124805,,,,
2011/05/13 16:00:00,12.31,-0.11,-0.00885668277,,,,
2011/05/20 16:00:00,11.77,-0.54,-0.04386677498,,,,
2011/05/27 16:00:00,11.67,-0.1,-0.00849617672,,,,
2011/06/03 16:00:00,10.91,-0.76,-0.06512425021,,,,
2011/06/10 16:00:00,9.86,-1.05,-0.09624197984,,,,
2011/06/17 16:00:00,9.44,-0.42,-0.04259634888,,,,
2011/06/24 16:00:00,9.64,0.2,0.02118644068,,,,
2011/07/01 16:00:00,11.51,1.87,0.1939834025,,,,
2011/07/08 16:00:00,12.07,0.56,0.04865334492,,,,
2011/07/15 16:00:00,11.32,-0.75,-0.06213753107,,,,
2011/07/22 16:00:00,12.56,1.24,0.109540636,,,,
2011/07/29 16:00:00,11.28,-1.28,-0.101910828,,,,
2011/08/05 16:00:00,9.05,-2.23,-0.1976950355,,,,
2011/08/12 16:00:00,8.7,-0.35,-0.03867403315,,,,
2011/08/19 16:00:00,6.67,-2.03,-0.2333333333,,,,
2011/08/26 16:00:00,7.88,1.21,0.1814092954,,,,
2011/09/02 16:00:00,7.75,-0.13,-0.01649746193,,,,
2011/09/09 16:00:00,7.65,-0.1,-0.01290322581,,,,
2011/09/16 16:00:00,9.31,1.66,0.2169934641,,,,
2011/09/23 16:00:00,8.24,-1.07,-0.1149301826,,,,
2011/09/30 16:00:00,7.67,-0.57,-0.06917475728,,,,
2011/10/07 16:00:00,8.45,0.78,0.1016949153,,,,
2011/10/14 16:00:00,10.56,2.11,0.249704142,,,,
2011/10/21 16:00:00,9.8,-0.76,-0.07196969697,,,,
2011/10/28 16:00:00,11.04,1.24,0.1265306122,,,,
2011/11/04 16:00:00,10.48,-0.56,-0.05072463768,,,,
2011/11/11 16:00:00,10.44,-0.04,-0.003816793893,,,,
2011/11/18 16:00:00,9.35,-1.09,-0.1044061303,,,,
2011/11/25 16:00:00,7.92,-1.43,-0.1529411765,,,,
2011/12/02 16:00:00,9.71,1.79,0.226010101,,,,
2011/12/09 16:00:00,10.03,0.32,0.03295571576,,,,
2011/12/16 16:00:00,8.78,-1.25,-0.1246261216,,,,
2011/12/23 16:00:00,9.24,0.46,0.05239179954,,,,
2011/12/30 16:00:00,9.11,-0.13,-0.01406926407,,,,
2012/01/06 16:00:00,9.89,0.78,0.08562019759,,,,
2012/01/13 16:00:00,9.96,0.07,0.007077856421,,,,
2012/01/20 16:00:00,11.04,1.08,0.1084337349,,,,
2012/01/27 16:00:00,11.41,0.37,0.03351449275,,,,
2012/02/03 16:00:00,12.47,1.06,0.09290096407,,,,
2012/02/10 16:00:00,12.94,0.47,0.0376904571,,,,
2012/02/17 16:00:00,13.63,0.69,0.05332302937,,,,
2012/02/24 16:00:00,13.95,0.32,0.02347762289,,,,
2012/03/02 16:00:00,14.33,0.38,0.02724014337,,,,
2012/03/09 16:00:00,14.34,0.01,0.0006978367062,,,,
2012/03/16 16:00:00,15.72,1.38,0.09623430962,,,,
2012/03/23 16:00:00,15.87,0.15,0.009541984733,,,,
2012/03/30 16:00:00,16.38,0.51,0.03213610586,,,,
2012/04/05 16:00:00,16.24,-0.14,-0.008547008547,,,,
2012/04/13 16:00:00,15.26,-0.98,-0.06034482759,,,,
2012/04/20 16:00:00,14.38,-0.88,-0.05766710354,,,,
2012/04/27 16:00:00,15.41,1.03,0.07162726008,,,,
2012/05/04 16:00:00,13.73,-1.68,-0.1090201168,,,,
2012/05/11 16:00:00,12.98,-0.75,-0.05462490896,,,,
2012/05/18 16:00:00,11.05,-1.93,-0.1486902928,,,,
2012/05/25 16:00:00,11.53,0.48,0.04343891403,,,,
2012/06/01 16:00:00,10.63,-0.9,-0.07805724198,,,,
2012/06/08 16:00:00,11.95,1.32,0.1241768579,,,,
2012/06/15 16:00:00,11.96,0.01,0.0008368200837,,,,
2012/06/22 16:00:00,11.98,0.02,0.001672240803,,,,
2012/06/29 16:00:00,12.09,0.11,0.00918196995,,,,
2012/07/06 16:00:00,11.98,-0.11,-0.009098428453,,,,
2012/07/13 16:00:00,11.5,-0.48,-0.04006677796,,,,
2012/07/20 16:00:00,12.07,0.57,0.04956521739,,,,
2012/07/27 16:00:00,12.49,0.42,0.0347970174,,,,
2012/08/03 16:00:00,12.99,0.5,0.04003202562,,,,
2012/08/10 16:00:00,13.77,0.78,0.06004618938,,,,
2012/08/17 16:00:00,14.63,0.86,0.06245461147,,,,
2012/08/24 16:00:00,14.35,-0.28,-0.01913875598,,,,
2012/08/31 16:00:00,14.21,-0.14,-0.009756097561,,,,
2012/09/07 16:00:00,15.07,0.86,0.06052076003,,,,
2012/09/14 16:00:00,15.76,0.69,0.04578633046,,,,
2012/09/21 16:00:00,15.85,0.09,0.005710659898,,,,
2012/09/28 16:00:00,14.8,-1.05,-0.06624605678,,,,
2012/10/05 16:00:00,14.88,0.08,0.005405405405,,,,
2012/10/12 16:00:00,13.53,-1.35,-0.09072580645,,,,
2012/10/19 16:00:00,12.63,-0.9,-0.06651884701,,,,
2012/10/26 16:00:00,12.23,-0.4,-0.03167062549,,,,
2012/11/02 16:00:00,12.2,-0.03,-0.002452984464,,,,
2012/11/09 16:00:00,11.26,-0.94,-0.07704918033,,,,
2012/11/16 16:00:00,10.58,-0.68,-0.06039076377,,,,
2012/11/23 16:00:00,11.95,1.37,0.129489603,,,,
2012/11/30 16:00:00,12.27,0.32,0.02677824268,,,,
2012/12/07 16:00:00,11.83,-0.44,-0.0358598207,,,,
2012/12/14 16:00:00,11.72,-0.11,-0.009298393914,,,,
2012/12/21 16:00:00,12.24,0.52,0.04436860068,,,,
2012/12/28 16:00:00,11.48,-0.76,-0.06209150327,,,,
2013/01/04 16:00:00,12.87,1.39,0.1210801394,,,,
2013/01/11 16:00:00,12.99,0.12,0.009324009324,,,,
2013/01/18 16:00:00,12.7,-0.29,-0.02232486528,,,,
2013/01/25 16:00:00,12.59,-0.11,-0.008661417323,,,,
2013/02/01 16:00:00,13.13,0.54,0.04289118348,,,,
2013/02/08 16:00:00,13.35,0.22,0.01675552171,,,,
2013/02/15 16:00:00,13.14,-0.21,-0.01573033708,,,,
2013/02/22 16:00:00,13,-0.14,-0.01065449011,,,,
2013/03/01 16:00:00,12.96,-0.04,-0.003076923077,,,,
2013/03/08 16:00:00,13.76,0.8,0.06172839506,,,,
2013/03/15 16:00:00,13.82,0.06,0.004360465116,,,,
2013/03/22 16:00:00,13.75,-0.07,-0.00506512301,,,,
2013/03/28 16:00:00,13.89,0.14,0.01018181818,,,,
2013/04/05 16:00:00,13.14,-0.75,-0.05399568035,,,,
2013/04/12 16:00:00,13.98,0.84,0.06392694064,,,,
2013/04/19 16:00:00,12.58,-1.4,-0.1001430615,,,,
2013/04/26 16:00:00,13.48,0.9,0.07154213037,,,,
2013/05/03 16:00:00,15.06,1.58,0.1172106825,,,,
2013/05/10 16:00:00,15.65,0.59,0.03917662683,,,,
2013/05/17 16:00:00,16.52,0.87,0.05559105431,,,,
2013/05/24 16:00:00,15.75,-0.77,-0.04661016949,,,,
2013/05/31 16:00:00,15.67,-0.08,-0.005079365079,,,,
2013/06/07 16:00:00,15.79,0.12,0.007657945118,,,,
2013/06/14 16:00:00,15.26,-0.53,-0.03356554782,,,,
2013/06/21 16:00:00,14.2,-1.06,-0.06946264744,,,,
2013/06/28 16:00:00,14.23,0.03,0.002112676056,,,,
2013/07/05 16:00:00,15.12,0.89,0.06254392129,,,,
2013/07/12 16:00:00,16.19,1.07,0.07076719577,,,,
2013/07/19 16:00:00,15.46,-0.73,-0.04508956146,,,,
2013/07/26 16:00:00,15.79,0.33,0.0213454075,,,,
2013/08/02 16:00:00,16.55,0.76,0.04813172894,,,,
2013/08/09 16:00:00,16.19,-0.36,-0.02175226586,,,,
2013/08/16 16:00:00,15.94,-0.25,-0.01544163064,,,,
2013/08/23 16:00:00,16.32,0.38,0.02383939774,,,,
2013/08/30 16:00:00,15.3,-1.02,-0.0625,,,,
2013/09/06 16:00:00,15.83,0.53,0.03464052288,,,,
2013/09/13 16:00:00,16.55,0.72,0.04548325963,,,,
2013/09/20 16:00:00,17.02,0.47,0.02839879154,,,,
2013/09/27 16:00:00,16.69,-0.33,-0.01938895417,,,,
2013/10/04 16:00:00,16.66,-0.03,-0.001797483523,,,,
2013/10/11 16:00:00,16.97,0.31,0.01860744298,,,,
2013/10/18 16:00:00,18.25,1.28,0.07542722451,,,,
2013/10/25 16:00:00,18.69,0.44,0.02410958904,,,,
2013/11/01 16:00:00,18.98,0.29,0.01551631889,,,,
2013/11/08 16:00:00,19.32,0.34,0.01791359326,,,,
2013/11/15 16:00:00,20.04,0.72,0.03726708075,,,,
2013/11/22 16:00:00,19.74,-0.3,-0.01497005988,,,,
2013/11/29 16:00:00,20.69,0.95,0.04812563323,,,,
2013/12/06 16:00:00,20.92,0.23,0.01111648139,,,,
2013/12/13 16:00:00,19.81,-1.11,-0.05305927342,,,,
2013/12/20 16:00:00,21.36,1.55,0.07824331146,,,,
2013/12/27 16:00:00,22.53,1.17,0.0547752809,,,,
2014/01/03 16:00:00,21.85,-0.68,-0.03018197958,,,,
2014/01/10 16:00:00,22,0.15,0.006864988558,,,,
2014/01/17 16:00:00,22.8,0.8,0.03636363636,,,,
2014/01/24 16:00:00,21.57,-1.23,-0.05394736842,,,,
2014/01/31 16:00:00,20.98,-0.59,-0.02735280482,,,,
2014/02/07 16:00:00,21.39,0.41,0.01954242135,,,,
2014/02/14 16:00:00,23.2,1.81,0.08461898083,,,,
2014/02/21 16:00:00,23,-0.2,-0.008620689655,,,,
2014/02/28 16:00:00,23.49,0.49,0.02130434783,,,,
2014/03/07 16:00:00,23.86,0.37,0.01575138357,,,,
2014/03/14 16:00:00,22.31,-1.55,-0.06496227997,,,,
2014/03/21 16:00:00,23.91,1.6,0.07171671896,,,,
2014/03/28 16:00:00,23.3,-0.61,-0.02551233793,,,,
2014/04/04 16:00:00,23.02,-0.28,-0.01201716738,,,,
2014/04/11 16:00:00,21.67,-1.35,-0.05864465682,,,,
2014/04/17 16:00:00,23.07,1.4,0.06460544532,,,,
2014/04/25 16:00:00,22.56,-0.51,-0.02210663199,,,,
2014/05/02 16:00:00,23.81,1.25,0.05540780142,,,,
2014/05/09 16:00:00,23.63,-0.18,-0.007559848803,,,,
2014/05/16 16:00:00,24.32,0.69,0.02920016928,,,,
2014/05/23 16:00:00,25.61,1.29,0.05304276316,,,,
2014/05/30 16:00:00,26.56,0.95,0.03709488481,,,,
2014/06/06 16:00:00,27.36,0.8,0.03012048193,,,,
2014/06/13 16:00:00,27.2,-0.16,-0.005847953216,,,,
2014/06/20 16:00:00,27.52,0.32,0.01176470588,,,,
2014/06/27 16:00:00,27.96,0.44,0.01598837209,,,,
2014/07/03 16:00:00,29.38,1.42,0.05078683834,,,,
2014/07/11 16:00:00,29.21,-0.17,-0.005786249149,,,,
2014/07/18 16:00:00,30.51,1.3,0.0445053064,,,,
2014/07/25 16:00:00,31,0.49,0.0160603081,,,,
2014/08/01 16:00:00,28.87,-2.13,-0.06870967742,,,,
2014/08/08 16:00:00,28.55,-0.32,-0.01108417042,,,,
2014/08/15 16:00:00,29.96,1.41,0.04938704028,,,,
2014/08/22 16:00:00,31.82,1.86,0.06208277704,,,,
2014/08/29 16:00:00,32.22,0.4,0.01257071025,,,,
2014/09/05 16:00:00,32.22,0,0,,,,
2014/09/12 16:00:00,31.96,-0.26,-0.008069522036,,,,
2014/09/19 16:00:00,32.76,0.8,0.02503128911,,,,
2014/09/26 16:00:00,31.32,-1.44,-0.04395604396,,,,
2014/10/03 16:00:00,30.76,-0.56,-0.01787994891,,,,
2014/10/10 16:00:00,27.23,-3.53,-0.1147594278,,,,
2014/10/17 16:00:00,26.35,-0.88,-0.0323172971,,,,
2014/10/24 16:00:00,29.73,3.38,0.1282732448,,,,
2014/10/31 16:00:00,32.64,2.91,0.09788092836,,,,
2014/11/07 16:00:00,33.37,0.73,0.02236519608,,,,
2014/11/14 16:00:00,35.34,1.97,0.05903506143,,,,
2014/11/21 16:00:00,35.45,0.11,0.00311262026,,,,
2014/11/28 16:00:00,37.55,2.1,0.05923836389,,,,
2014/12/05 16:00:00,36.57,-0.98,-0.02609853529,,,,
2014/12/12 16:00:00,32.72,-3.85,-0.1052775499,,,,
2014/12/19 16:00:00,35.56,2.84,0.08679706601,,,,
2014/12/26 16:00:00,37.37,1.81,0.05089988751,,,,
2015/01/02 16:00:00,34.7,-2.67,-0.07144768531,,,,
2015/01/09 16:00:00,34.38,-0.32,-0.009221902017,,,,
2015/01/16 16:00:00,32.43,-1.95,-0.05671902269,,,,
2015/01/23 16:00:00,34.86,2.43,0.0749306198,,,,
2015/01/30 16:00:00,31.03,-3.83,-0.1098680436,,,,
2015/02/06 16:00:00,33.77,2.74,0.08830164357,,,,
2015/02/13 16:00:00,37.69,3.92,0.1160793604,,,,
2015/02/20 16:00:00,38.8,1.11,0.0294507827,,,,
2015/02/27 16:00:00,38.82,0.02,0.0005154639175,,,,
2015/03/06 16:00:00,36.93,-1.89,-0.0486862442,,,,
2015/03/13 16:00:00,34.53,-2.4,-0.06498781478,,,,
2015/03/20 16:00:00,37.58,3.05,0.08832898928,,,,
2015/03/27 16:00:00,34.55,-3.03,-0.08062799361,,,,
2015/04/02 16:00:00,34.64,0.09,0.002604920405,,,,
2015/04/10 16:00:00,36.26,1.62,0.04676674365,,,,
2015/04/17 16:00:00,34.59,-1.67,-0.04605626034,,,,
2015/04/24 16:00:00,38.8,4.21,0.1217114773,,,,
2015/05/01 16:00:00,38.72,-0.08,-0.00206185567,,,,
2015/05/08 16:00:00,38.38,-0.34,-0.008780991736,,,,
2015/05/15 16:00:00,39.17,0.79,0.02058363731,,,,
2015/05/22 16:00:00,39.93,0.76,0.01940260403,,,,
2015/05/29 16:00:00,39.3,-0.63,-0.01577761082,,,,
2015/06/05 16:00:00,38.11,-1.19,-0.03027989822,,,,
2015/06/12 16:00:00,37.32,-0.79,-0.02072946733,,,,
2015/06/19 16:00:00,37.54,0.22,0.005894962487,,,,
2015/06/26 16:00:00,36.73,-0.81,-0.02157698455,,,,
2015/07/02 16:00:00,35.2,-1.53,-0.04165532262,,,,
2015/07/10 16:00:00,34.43,-0.77,-0.021875,,,,
2015/07/17 16:00:00,39.49,5.06,0.1469648562,,,,
2015/07/24 16:00:00,36.61,-2.88,-0.07292985566,,,,
2015/07/31 16:00:00,37.15,0.54,0.01475006829,,,,
2015/08/07 16:00:00,35.86,-1.29,-0.03472409152,,,,
2015/08/14 16:00:00,36.57,0.71,0.01979921919,,,,
2015/08/21 16:00:00,29.61,-6.96,-0.1903199344,,,,
2015/08/28 16:00:00,31.38,1.77,0.05977710233,,,,
2015/09/04 16:00:00,28.36,-3.02,-0.09623964308,,,,
2015/09/11 16:00:00,30.75,2.39,0.08427362482,,,,
2015/09/18 16:00:00,30.2,-0.55,-0.01788617886,,,,
2015/09/25 16:00:00,29.67,-0.53,-0.01754966887,,,,
2015/10/02 16:00:00,30.02,0.35,0.01179642737,,,,
2015/10/09 16:00:00,33.29,3.27,0.1089273817,,,,
2015/10/16 16:00:00,34.49,1.2,0.03604686092,,,,
2015/10/23 16:00:00,38.95,4.46,0.1293128443,,,,
2015/10/30 16:00:00,38.6,-0.35,-0.008985879332,,,,
2015/11/06 16:00:00,40.34,1.74,0.04507772021,,,,
2015/11/13 16:00:00,35.19,-5.15,-0.1276648488,,,,
2015/11/20 16:00:00,39.74,4.55,0.1292980961,,,,
2015/11/27 16:00:00,38.99,-0.75,-0.01887267237,,,,
2015/12/04 16:00:00,40.68,1.69,0.04334444729,,,,
2015/12/11 16:00:00,35.99,-4.69,-0.1152900688,,,,
2015/12/18 16:00:00,34.81,-1.18,-0.03278688525,,,,
2015/12/24 16:00:00,37.48,2.67,0.0767020971,,,,
2015/12/31 16:00:00,36.43,-1.05,-0.0280149413,,,,
2016/01/08 16:00:00,29.71,-6.72,-0.1844633544,,,,
2016/01/15 16:00:00,27.82,-1.89,-0.06361494446,,,,
2016/01/22 16:00:00,29.99,2.17,0.07800143781,,,,
2016/01/29 16:00:00,31.76,1.77,0.05901967322,,,,
2016/02/05 16:00:00,27.81,-3.95,-0.1243702771,,,,
2016/02/12 16:00:00,27.2,-0.61,-0.02193455592,,,,
2016/02/19 16:00:00,30.15,2.95,0.1084558824,,,,
2016/02/26 16:00:00,31.42,1.27,0.04212271973,,,,
2016/03/04 16:00:00,33.97,2.55,0.08115849777,,,,
2016/03/11 16:00:00,35.07,1.1,0.0323815131,,,,
2016/03/18 16:00:00,37.39,2.32,0.06615340747,,,,
2016/03/24 16:00:00,37.39,0,0,,,,
2016/04/01 16:00:00,40.27,2.88,0.07702594277,,,,
2016/04/08 16:00:00,38.02,-2.25,-0.05587285821,,,,
2016/04/15 16:00:00,39.18,1.16,0.03051025776,,,,
2016/04/22 16:00:00,36.93,-2.25,-0.05742725881,,,,
2016/04/29 16:00:00,33.55,-3.38,-0.09152450582,,,,
2016/05/06 16:00:00,33.72,0.17,0.005067064083,,,,
2016/05/13 16:00:00,33.7,-0.02,-0.0005931198102,,,,
